Data
2.33E-08
1.22E-08
1.48E-08
2.38E-08
1.35E-08
1.33E-08
2.42E-08
1.40E-08
1.24E-08
2.48E-08
1.44E-08
1.16E-08
2.52E-08
1.48E-08
1.07E-08
2.57E-08
1.53E-08
9.73E-09
2.61E-08
1.59E-08
8.68E-09
2.64E-08
1.66E-08
7.56E-09
2.67E-08
1.74E-08
6.38E-09
2.70E-08
1.83E-08
5.15E-09
2.72E-08
1.94E-08
3.97E-09
2.70E-08
2.07E-08
3.02E-09
2.67E-08
2.20E-08
1.91E-09
2.61E-08
2.35E-08
1.73E-09
2.50E-08
2.47E-08
1.40E-09
2.40E-08
2.63E-08
1.07E-09
2.27E-08
2.81E-08
2.83E-10
2.17E-08
2.99E-08
0
2.01E-08
3.11E-08
6.00E-10
1.85E-08
3.21E-08
1.56E-09
1.65E-08
3.33E-08
1.61E-08
1.26E-07
4.42E-07
8.83E-07
1.42E-06
2.08E-06
2.86E-06
3.80E-06
4.79E-06
5.77E-06
6.80E-06
7.89E-06
8.92E-06
9.88E-06
1.08E-05
1.16E-05
1.24E-05
1.30E-05
1.35E-05
1.39E-05
1.42E-05
1.44E-05
1.45E-05
1.45E-05
1.45E-05
1.44E-05
1.42E-05
1.40E-05
1.38E-05
1.36E-05
1.33E-05
1.30E-05
1.28E-05
1.25E-05
1.23E-05
1.21E-05
1.20E-05
1.18E-05
1.17E-05
1.16E-05
1.16E-05
1.16E-05
1.16E-05
1.16E-05
1.17E-05
1.17E-05
1.18E-05
1.19E-05
1.20E-05
1.21E-05
1.22E-05
1.23E-05
1.24E-05
1.25E-05
1.26E-05
1.26E-05
1.27E-05
1.27E-05
1.27E-05
1.27E-05
1.28E-05
1.27E-05
1.27E-05
1.27E-05
1.27E-05
1.27E-05
1.27E-05
1.26E-05
1.26E-05
1.26E-05
1.25E-05
1.25E-05
1.25E-05
1.25E-05
1.25E-05
1.25E-05
1.25E-05
1.25E-05
1.25E-05
1.25E-05
1.25E-05
1.25E-05
1.25E-05
1.25E-05
1.25E-05
1.25E-05
1.25E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.25E-05
1.26E-05
1.26E-05
1.25E-05
1.26E-05
1.26E-05
1.25E-05
1.26E-05
1.26E-05
1.25E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
1.26E-05
